,,,,,,,,,,,,,
"CUADRO No.-55
TRANSPORTE MARÍTIMO INTERNACIONAL - SUPERINTENDENCIA PETROLERA DE LA LIBERTAD (SUINLI)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,,,,,,,,
,,,,,,ÍNDICE>>,,,,,,,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",,,,,,,,
Total, 289 ," 4,437,039 "," 8,883,418 "," 3,060,812 ", -   ,,,,,,,,
ANTIGUA, 3 ," 11,356 "," 25,222 ", -   , -   ,,,,,,,,
BAHAMAS, 4 ," 61,376 "," 109,949 ", -   , -   ,,,,,,,,
CHINA, 2 ," 30,966 "," 52,348 ", -   , -   ,,,,,,,,
CHIPRE, 9 ," 111,150 "," 232,186 "," 150,014 ", -   ,,,,,,,,
FILIPINAS, 1 ," 18,206 "," 30,660 ", -   , -   ,,,,,,,,
GIBRALTAR, 2 ," 21,510 "," 71,706 "," 66,906 ", -   ,,,,,,,,
GRECIA, 1 ," 25,580 "," 41,882 ", -   , -   ,,,,,,,,
HONG KONG, 13 ," 236,291 "," 430,722 "," 54,241 ", -   ,,,,,,,,
ISLAS BERMUDAS, 1 ," 60,544 "," 92,992 ", -   , -   ,,,,,,,,
ISLAS DEL HOMBRE, 1 ," 6,225 "," 11,918 ", -   , -   ,,,,,,,,
ISLAS MARSHALL, 60 ," 941,974 "," 1,840,212 "," 607,767 ", -   ,,,,,,,,
ITALIA, 5 ," 65,017 "," 137,948 "," 45,238 ", -   ,,,,,,,,
LIBERIA, 56 ," 790,767 "," 1,719,022 "," 738,453 ", -   ,,,,,,,,
MALTA, 21 ," 458,853 "," 820,567 "," 235,054 ", -   ,,,,,,,,
NORUEGA, 17 ," 254,898 "," 605,593 "," 262,767 ", -   ,,,,,,,,
PANAMA, 70 ," 1,047,029 "," 2,039,308 "," 634,736 ", -   ,,,,,,,,
PERU, 1 ," 9,680 "," 22,184 ", -   , -   ,,,,,,,,
PORTUGAL, 3 ," 29,413 "," 63,746 ", -   , -   ,,,,,,,,
REINO UNIDO, 1 ," 9,972 "," 23,353 "," 33,894 ", -   ,,,,,,,,
SINGAPUR, 15 ," 213,187 "," 449,250 "," 231,742 ", -   ,,,,,,,,
SUIZA, 1 ," 4,483 "," 9,990 ", -   , -   ,,,,,,,,
TAILANDIA, 1 ," 18,210 "," 32,661 ", -   , -   ,,,,,,,,
TURQUIA, 1 ," 10,351 "," 19,999 ", -   , -   ,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
