,,,,,,
"CUADRO No.-56
TRANSPORTE MARÍTIMO INTERNACIONAL - SUPERINTENDENCIA PETROLERA EL SALITRAL (SUINSA)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,
,,,,,,ÍNDICE>>
,,,,,,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",
Total, 88 ," 1,051,408 "," 2,215,055 "," 1,306,904 ", -   ,
CHIPRE, 6 ," 78,624 "," 163,242 "," 69,640 ", -   ,
FILIPINAS, 1 ," 27,326 "," 43,968 ", -   , -   ,
HONG KONG, 3 ," 38,998 "," 83,084 "," 63,469 ", -   ,
ISLAS MARSHALL, 27 ," 305,518 "," 627,562 "," 341,531 ", -   ,
ITALIA, 5 ," 56,845 "," 129,320 "," 82,545 ", -   ,
LIBERIA, 10 ," 106,207 "," 244,826 "," 245,773 ", -   ,
MALTA, 9 ," 118,520 "," 202,679 "," 71,081 ", -   ,
NORUEGA, 1 ," 19,458 "," 32,297 ", -   , -   ,
PANAMA, 22 ," 256,478 "," 595,893 "," 384,861 ", -   ,
SINGAPUR, 4 ," 43,434 "," 92,184 "," 48,005 ", -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,
