,,,,,,,,,,,,,,
 CUADRO No.-57,,,,,,,,,,,,,,
TRANSPORTE MARÍTIMO INTERNACIONAL,,,,,,,,,,,,,,
"NÚMERO DE CONTENEDORES CON CARGA MOVILIZADA (™), SEGÚN LAS AGENCIAS NAVIERAS ",,,,,,,,ÍNDICE>>,,,,,,
(CANTIDAD EN UNIDADES),,,,,,,,,,,,,,
AGENCIAS NAVIERAS,TOTAL,IMPORTACIÓN,,EXPORTACIÓN,,TOTAL,,,,,,,,
,,CONT'20,CONT'40,CONT'20,CONT'40,CONT'20,CONT'40,,,,,,,
 TOTAL," 477,329 "," 91,592 "," 126,793 "," 47,702 "," 211,242 "," 139,294 "," 338,035 ",,,,,,,
 AGENCIA DEL PACIFICO DELPAC S.A. , 28 , 11 , 17 , -   , -   , 11 , 17 ,,,,,,,
 AGENCIA MARITIMA GLOBAL-MARGLOBAL S.A. ," 7,164 ", 5 , 200 , -   ," 6,959 ", 5 ," 7,159 ",,,,,,,
 AGENCIA NAVIERA INTERNACIONAL S.A. GOLFOLINE ," 1,394 ", -   , 5 , -   ," 1,389 ", -   ," 1,394 ",,,,,,,
 AGENCIA TECNICO MARITIMA TECNISEA C. LTDA. , 8 , 2 , 6 , -   , -   , 2 , 6 ,,,,,,,
 ANDINAVE S.A. , 17 , 8 , 9 , -   , -   , 8 , 9 ,,,,,,,
 ATLASMARINE S.A. , 60 , -   , 60 , -   , -   , -   , 60 ,,,,,,,
 BBC ECUADOR ANDINO CIA.LTDA. , 57 , 17 , 25 , -   , 15 , 17 , 40 ,,,,,,,
 BBCECUADOR ANDINO C. LTDA. , 85 , 30 , 46 , 2 , 7 , 32 , 53 ,,,,,,,
 BLUEPAC SHIPPING AGENCY S.A. , 2 , -   , 2 , -   , -   , -   , 2 ,,,,,,,
 BLUESHIPPING AGENCY S.A. , 40 , -   , -   , -   , 40 , -   , 40 ,,,,,,,
 BROOM ECUADOR S.A. ," 1,542 ", 454 , 267 , 364 , 457 , 818 , 724 ,,,,,,,
 CMA CGM ECUADOR S.A. ," 59,992 "," 11,340 "," 16,552 "," 6,326 "," 25,774 "," 17,666 "," 42,326 ",,,,,,,
 HAMBURG SUD ECUADOR S.A. ," 82,719 "," 13,381 "," 22,067 "," 9,268 "," 38,003 "," 22,649 "," 60,070 ",,,,,,,
 KING OCEAN ECUADOR KINGOCEAN S.A. , 440 , 79 , 148 , 17 , 196 , 96 , 344 ,,,,,,,
 MAERSK DEL ECUADOR C.A. ," 98,010 "," 15,878 "," 24,099 "," 2,534 "," 55,499 "," 18,412 "," 79,598 ",,,,,,,
 MARITIMA ECUATORIANA MARSEC S.A. ," 3,883 ", 528 , 566 , 33 ," 2,756 ", 561 ," 3,322 ",,,,,,,
 MEDITERRANEAN SHIPPING COMPANY C.A. ," 63,372 "," 10,890 "," 13,128 "," 6,392 "," 32,962 "," 17,282 "," 46,090 ",,,,,,,
 NAVESUR C. LTDA. ," 3,988 ", 910 ," 1,216 ", 310 ," 1,552 "," 1,220 "," 2,768 ",,,,,,,
 REPRESENTACIONES MARITIMAS DEL ECUADOR S.A. REMAR ," 8,314 ", 715 ," 6,203 ", 65 ," 1,331 ", 780 ," 7,534 ",,,,,,,
 T.M.T. TRANSPORTE MARITIMO Y TERRESTRE S.A. , 319 , -   , 9 , -   , 310 , -   , 319 ,,,,,,,
 TERMINAVES AGENCIA MARITIMA S.A. TAMSA ," 1,223 ", 306 , 384 , 63 , 470 , 369 , 854 ,,,,,,,
 TRANSOCEANICA COMPAÑÍA LIMITADA ," 144,613 "," 36,994 "," 41,770 "," 22,327 "," 43,522 "," 59,321 "," 85,292 ",,,,,,,
" TRANSPORTE Y REPRESENTACIONES INTERNACIONALES, TRADINTER S.A. ", 59 , 44 , 14 , 1 , -   , 45 , 14 ,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
