,,,,,,,
 CUADRO No.-58,,,,,,,
TRANSPORTE MARÍTIMO INTERNACIONAL,,,,,,,
"MOVIMIENTOS POR TIPO DE CARGA DE EXPORTACIÓN (™), SEGÚN LAS AGENCIAS NAVIERAS",,,,,,ÍNDICE>>,
AGENCIAS NAVIERAS,TOTAL ,T I P O S   D E   C A R G A,,,,,
,,GENERAL,CONTENERIZADA,SÓLIDOS,LÍQUIDOS,,
 TOTAL," 30,867,166 "," 1,833,164 "," 5,728,545 "," 119,415 "," 23,186,042 ",,
A_OCEAN AGENCY S.A, 160 , 4 , -   , -   , 156 ,,
AGENCIA MARITIMA GLOBAL-MARGLOBAL S.A.," 779,592 "," 633,736 "," 145,856 ", -   , -   ,,
AGENCIA NAVIERA ANCHOR SHIPPING S.A.," 63,813 ", -   , -   , -   ," 63,813 ",,
AGENCIA NAVIERA GUSTAVO ZANDERS CIA. LTDA.," 44,758 ", -   , -   , -   ," 44,758 ",,
AGENCIA NAVIERA INTERNACIONAL S.A. GOLFOLINE," 294,559 "," 265,641 "," 28,918 ", -   , -   ,,
AGENCIA TECNICO MARITIMA TECNISEA C. LTDA.," 17,296 ", 443 , -   , -   ," 16,853 ",,
ANDINAVE S.A.," 13,048 ", -   , -   , -   ," 13,048 ",,
ATLASMARINE S.A.," 28,953 ", 157 , -   , -   ," 28,796 ",,
B.O.W. S.A.," 1,405 ", 69 , -   , -   ," 1,336 ",,
BBC ECUADOR ANDINO CIA.LTDA.," 5,414 "," 5,355 ", 59 , -   , -   ,,
BBCECUADOR ANDINO C. LTDA.," 2,168 "," 2,047 ", 122 , -   , -   ,,
BLUEPAC SHIPPING AGENCY S.A.," 15,414 "," 15,414 ", -   , -   , -   ,,
BLUESHIPPING AGENCY S.A.," 63,751 "," 62,751 "," 1,000 ", -   , -   ,,
BROOM ECUADOR S.A.," 20,603 "," 1,976 "," 18,627 ", -   , -   ,,
CMA CGM ECUADOR S.A.," 709,405 ", 15 ," 709,389 ", -   , -   ,,
CONAVEGORI COMPAÑÍA NAVIERA ECUATORIANA GOMEZ RIVERA S.A, 1 , 1 , -   , -   , -   ,,
DELCAMPOSHIPPING AGENCIA NAVIERA S. A.," 7,031 "," 7,031 ", -   , -   , -   ,,
EMPRESA PUBLICA FLOTA PETROLERA ECUATORIANA -EP FLOPEC-," 22,756,178 ", -   , -   , -   ," 22,756,178 ",,
HAMBURG SUD ECUADOR S.A.," 973,366 ", 1 ," 973,365 ", -   , -   ,,
KING OCEAN ECUADOR KINGOCEAN S.A.," 3,578 ", -   ," 3,578 ", -   , -   ,,
MAERSK DEL ECUADOR C.A.," 1,354,783 ", -   ," 1,354,783 ", -   , -   ,,
MARITIMA ECUATORIANA MARSEC S.A.," 584,771 "," 518,909 "," 65,861 ", -   , -   ,,
MEDITERRANEAN SHIPPING COMPANY C.A.," 889,833 ", -   ," 889,833 ", -   , -   ,,
NAVESUR C. LTDA.," 34,994 ", 210 ," 34,784 ", -   , -   ,,
NAVIERA JORGE CEDEÑO JCP HERMANOS C. LTDA.," 1,122 ", 639 , -   , 483 , -   ,,
NAVIERA MARNIZAM CIA. LTDA.," 4,338 ", 505 , -   , -   ," 3,833 ",,
NEPTUNO SHIPPING AGENCY NEPSA CIA. LTDA.," 15,977 ", -   , -   , -   ," 15,977 ",,
REPRESENTACIONES MARITIMAS DEL ECUADOR S.A. REMAR," 463,423 "," 86,327 "," 30,129 "," 118,932 "," 228,035 ",,
T.M.T. TRANSPORTE MARITIMO Y TERRESTRE S.A.," 237,633 "," 230,151 "," 7,482 ", -   , -   ,,
TERMINAVES AGENCIA MARITIMA S.A. TAMSA," 9,300 ", 8 ," 9,292 ", -   , -   ,,
TRANSOCEANICA COMPAÑÍA LIMITADA," 1,470,482 "," 1,758 "," 1,455,465 ", -   ," 13,259 ",,
"TRANSPORTE Y REPRESENTACIONES INTERNACIONALES, TRADINTER S.A.", 18 , 15 , 4 , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
