,,,,,,,,
"CUADRO No .-11
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CAPACIDAD DE PASAJEROS, SEGÚN PROVINCIA",,,,,,,,
,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL DE ASIENTOS,TOTAL DE VEHÍCULOS,CAPACIDAD DE PASAJEROS,,,,,
,,,1 A 10,11 A 20,21 A 30,31 A 40,41 Y MÁS,
TOTAL," 6,470,462 "," 1,488,802 "," 1,465,201 "," 1,837 "," 2,475 "," 7,757 "," 11,532 ",
AZUAY," 194,648 "," 41,104 "," 40,691 ", 43 , 55 , 153 , 162 ,
BOLÍVAR," 38,712 "," 7,383 "," 7,013 ", 8 , 20 , 108 , 234 ,
CAÑAR," 94,749 "," 20,819 "," 20,342 ", 30 , 42 , 241 , 164 ,
CARCHI," 54,814 "," 10,541 "," 10,237 ", 12 , 25 , 91 , 176 ,
COTOPAXI," 96,870 "," 21,751 "," 21,182 ", 21 , 43 , 204 , 301 ,
CHIMBORAZO," 107,493 "," 20,429 "," 19,944 ", 21 , 19 , 170 , 275 ,
EL ORO," 204,359 "," 59,493 "," 58,542 ", 78 , 62 , 382 , 429 ,
ESMERALDAS," 84,738 "," 27,131 "," 26,747 ", 35 , 26 , 116 , 207 ,
GUAYAS," 1,559,896 "," 366,380 "," 362,520 ", 403 , 442 , 963 ," 2,052 ",
IMBABURA," 78,711 "," 14,889 "," 14,405 ", 27 , 19 , 161 , 277 ,
LOJA," 47,300 "," 11,920 "," 11,737 ", 30 , 48 , 57 , 48 ,
LOS RÍOS," 181,706 "," 80,870 "," 79,931 ", 56 , 42 , 356 , 485 ,
MANABÍ," 391,861 "," 117,292 "," 115,721 ", 105 , 76 , 485 , 905 ,
MORONA SANTIAGO," 24,078 "," 5,758 "," 5,577 ", 13 , 29 , 98 , 41 ,
NAPO," 17,519 "," 4,400 "," 4,260 ", 8 , 12 , 56 , 64 ,
PASTAZA," 27,118 "," 5,794 "," 5,582 ", 8 , 14 , 72 , 118 ,
PICHINCHA," 2,702,564 "," 540,270 "," 531,723 ", 786 ," 1,161 "," 2,792 "," 3,808 ",
TUNGURAHUA," 297,922 "," 52,245 "," 50,657 ", 39 , 81 , 595 , 873 ,
ZAMORA CHINCHIPE," 16,193 "," 3,068 "," 2,894 ", 12 , 62 , 78 , 22 ,
GALÁPAGOS," 1,998 ", 632 , 602 , 3 , 20 , 4 , 3 ,
SUCUMBÍOS," 48,491 "," 19,880 "," 19,482 ", 41 , 69 , 185 , 103 ,
ORELLANA," 28,303 "," 9,997 "," 9,780 ", 16 , 46 , 91 , 64 ,
SANTO DOMINGO DE LOS TSÁCHILAS," 92,336 "," 28,479 "," 27,875 ", 24 , 31 , 130 , 419 ,
SANTA ELENA," 78,083 "," 18,277 "," 17,757 ", 18 , 31 , 169 , 302 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
,,,,,,,,
Nota: La distribución geográfica de las provincias de este cuadro se registra en función del lugar de residencia del propietario del automotor.,,,,,,,,
