,,,,,,,,
"CUADRO No .-12
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CAPACIDAD DE CARGA, SEGÚN PROVINCIA",,,,,,,,
,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL DE TONELADAS,TOTAL DE VEHÍCULOS,CAPACIDAD DE CARGA,,,,,
,,,1/4 A 3,3 1/4 A 6,6 1/4 A 10,10 1/4 A 15,15 1/4 Y MÁS,
TOTAL," 1,517,397 "," 567,411 "," 458,915 "," 68,695 "," 13,327 "," 8,562 "," 17,912 ",
AZUAY,51319,23150,19775,2236,368,207,564,
BOLÍVAR,14528," 5,574 "," 4,444 ", 642 , 252 , 140 , 96 ,
CAÑAR,37779," 13,432 "," 10,813 "," 1,488 ", 379 , 206 , 546 ,
CARCHI,26694," 5,728 "," 3,813 "," 1,040 ", 156 , 241 , 478 ,
COTOPAXI,49749," 14,760 "," 11,460 "," 1,735 ", 421 , 357 , 787 ,
CHIMBORAZO,29834," 12,531 "," 10,359 "," 1,425 ", 279 , 177 , 291 ,
EL ORO,69153," 23,924 "," 18,739 "," 3,086 ", 824 , 429 , 846 ,
ESMERALDAS,28220," 9,933 "," 7,672 "," 1,495 ", 296 , 142 , 328 ,
GUAYAS,298486," 114,914 "," 92,147 "," 16,060 "," 2,358 "," 1,373 "," 2,976 ",
IMBABURA,22037," 7,238 "," 5,660 "," 1,003 ", 112 , 99 , 364 ,
LOJA,21321," 8,871 "," 7,507 ", 804 , 172 , 128 , 260 ,
LOS RÍOS,63303," 20,904 "," 15,715 "," 3,278 ", 878 , 410 , 623 ,
MANABÍ,100270," 40,865 "," 34,310 "," 3,829 "," 1,032 ", 519 ," 1,175 ",
MORONA SANTIAGO,9727," 3,661 "," 3,013 ", 325 , 114 , 88 , 121 ,
NAPO,6329," 2,243 "," 1,816 ", 214 , 73 , 45 , 95 ,
PASTAZA,8122," 2,604 "," 1,982 ", 328 , 96 , 51 , 147 ,
PICHINCHA,495198," 192,999 "," 159,112 "," 21,728 "," 3,691 "," 2,732 "," 5,736 ",
TUNGURAHUA,76288," 34,224 "," 29,009 "," 3,349 ", 718 , 593 , 555 ,
ZAMORA CHINCHIPE,7129," 2,346 "," 1,797 ", 303 , 98 , 42 , 106 ,
GALÁPAGOS,1139, 624 , 526 , 85 , 4 , 5 , 4 ,
SUCUMBÍOS,23341," 5,927 "," 4,175 ", 943 , 185 , 115 , 509 ,
ORELLANA,25873," 4,550 "," 2,895 ", 693 , 164 , 116 , 682 ,
SANTO DOMINGO DE LOS TSÁCHILAS,37954," 11,290 "," 8,138 "," 1,980 ", 438 , 236 , 498 ,
SANTA ELENA,13605," 5,119 "," 4,038 ", 626 , 219 , 111 , 125 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
,,,,,,,,
Nota: La distribución geográfica de las provincias de este cuadro se registra en función del lugar de residencia del propietario del automotor.,,,,,,,,
