,,,,,,,,,,
,,,,,,,,,,
"CUADRO No .-13
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN PROVINCIA Y TIPO DE COMBUSTIBLE ",,,,,,,,,ÍNDICE>>,
PROVINCIA,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS,,
TOTAL ,," 2,056,213 "," 1,885,063 "," 135,905 "," 26,535 "," 6,953 ", 924 , 833 ,,
TOTAL  ,DIESEL," 258,058 "," 175,802 "," 67,699 "," 10,430 "," 3,394 ", 694 , 39 ,,
TOTAL ,GASOLINA," 1,792,135 "," 1,703,285 "," 68,186 "," 16,092 "," 3,554 ", 229 , 789 ,,
TOTAL,HÍBRIDO," 5,565 "," 5,552 ", -   , 3 , 4 , 1 , 5 ,,
TOTAL,ELÉCTRICO, 141 , 135 , 1 , 4 , 1 , -   , -   ,,
TOTAL,GAS LIQUADO DE PETRÓLEO, 314 , 289 , 19 , 6 , -   , -   , -   ,,
,,,,,,,,,,
AZUAY,TOTAL," 64,254 "," 60,123 "," 2,865 ", 956 , 271 , 38 , 1 ,,
,DIESEL," 8,774 "," 6,702 "," 1,442 ", 439 , 160 , 31 , -   ,,
,GASOLINA," 55,349 "," 53,290 "," 1,423 ", 517 , 111 , 7 , 1 ,,
,HÍBRIDO, 125 , 125 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 4 , 4 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
BOLÍVAR,TOTAL," 12,957 "," 10,553 "," 1,906 ", 403 , 58 , 37 , -   ,,
,DIESEL," 2,455 "," 1,151 "," 1,026 ", 210 , 39 , 29 , -   ,,
,GASOLINA," 10,493 "," 9,394 ", 879 , 193 , 19 , 8 , -   ,,
,HÍBRIDO, 6 , 6 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 1 , 1 , -   , -   , -   , -   ,,
,,,,,,,,,,
CAÑAR,TOTAL," 34,251 "," 30,740 "," 3,011 ", 287 , 176 , 37 , -   ,,
,DIESEL," 4,997 "," 3,185 "," 1,569 ", 113 , 102 , 28 , -   ,,
,GASOLINA," 29,215 "," 27,517 "," 1,442 ", 174 , 73 , 9 , -   ,,
,HÍBRIDO, 37 , 36 , -   , -   , 1 , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
CARCHI,TOTAL," 16,269 "," 13,311 "," 2,500 ", 383 , 72 , 3 , -   ,,
,DIESEL," 2,963 "," 1,054 "," 1,725 ", 140 , 42 , 2 , -   ,,
,GASOLINA," 13,291 "," 12,243 ", 774 , 243 , 30 , 1 , -   ,,
,HÍBRIDO, 11 , 11 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , -   , 1 , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 3 , 3 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
COTOPAXI,TOTAL," 36,511 "," 32,517 "," 3,520 ", 396 , 77 , -   , 1 ,,
,DIESEL," 6,201 "," 3,760 "," 2,251 ", 148 , 42 , -   , -   ,,
,GASOLINA," 30,278 "," 28,727 "," 1,267 ", 248 , 35 , -   , 1 ,,
,HÍBRIDO, 25 , 25 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 7 , 5 , 2 , -   , -   , -   , -   ,,
,,,,,,,,,,
CHIMBORAZO,TOTAL," 32,960 "," 29,167 "," 3,135 ", 436 , 188 , 33 , 1 ,,
,DIESEL," 5,062 "," 3,360 "," 1,396 ", 155 , 131 , 20 , -   ,,
,GASOLINA," 27,841 "," 25,750 "," 1,739 ", 281 , 57 , 13 , 1 ,,
,HÍBRIDO, 54 , 54 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 3 , 3 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
EL ORO,TOTAL," 83,417 "," 75,563 "," 7,138 ", 550 , 117 , 49 , -   ,,
,DIESEL," 11,719 "," 8,024 "," 3,297 ", 265 , 87 , 46 , -   ,,
,GASOLINA," 71,600 "," 67,442 "," 3,840 ", 285 , 30 , 3 , -   ,,
,HÍBRIDO, 88 , 88 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 10 , 9 , 1 , -   , -   , -   , -   ,,
,,,,,,,,,,
ESMERALDAS,TOTAL," 37,064 "," 33,878 "," 2,797 ", 307 , 25 , 53 , 4 ,,
,DIESEL," 4,196 "," 2,962 "," 1,090 ", 90 , 13 , 41 , -   ,,
,GASOLINA," 32,853 "," 30,901 "," 1,707 ", 217 , 12 , 12 , 4 ,,
,HÍBRIDO, 13 , 13 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
GUAYAS,TOTAL," 481,294 "," 460,309 "," 17,221 "," 3,166 ", 513 , 10 , 75 ,,
,DIESEL," 57,354 "," 48,056 "," 7,384 "," 1,567 ", 344 , -   , 3 ,,
,GASOLINA," 422,274 "," 410,587 "," 9,837 "," 1,599 ", 169 , 10 , 72 ,,
,HÍBRIDO," 1,633 "," 1,633 ", -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 23 , 23 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 10 , 10 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
IMBABURA,TOTAL," 22,127 "," 19,255 "," 2,548 ", 288 , 32 , 2 , 2 ,,
,DIESEL," 3,747 "," 2,218 "," 1,392 ", 112 , 24 , 1 , -   ,,
,GASOLINA," 18,347 "," 17,004 "," 1,156 ", 176 , 8 , 1 , 2 ,,
,HÍBRIDO, 24 , 24 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 8 , 8 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
LOJA,TOTAL," 20,791 "," 19,171 "," 1,153 ", 270 , 160 , 37 , -   ,,
,DIESEL," 3,476 "," 2,578 ", 683 , 79 , 101 , 35 , -   ,,
,GASOLINA," 17,293 "," 16,571 ", 470 , 191 , 59 , 2 , -   ,,
,HÍBRIDO, 20 , 20 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
LOS RÍOS,TOTAL," 101,774 "," 96,800 "," 4,279 ", 618 , 64 , 13 , -   ,,
,DIESEL," 8,698 "," 6,234 "," 2,179 ", 249 , 33 , 3 , -   ,,
,GASOLINA," 93,046 "," 90,538 "," 2,099 ", 369 , 31 , 9 , -   ,,
,HÍBRIDO, 14 , 13 , -   , -   , -   , 1 , -   ,,
,ELÉCTRICO, 3 , 3 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 13 , 12 , 1 , -   , -   , -   , -   ,,
,,,,,,,,,,
MANABÍ,TOTAL," 158,157 "," 146,528 "," 10,197 "," 1,126 ", 234 , 71 , 1 ,,
,DIESEL," 14,921 "," 10,270 "," 3,959 ", 469 , 162 , 61 , -   ,,
,GASOLINA," 143,157 "," 136,181 "," 6,237 ", 656 , 72 , 10 , 1 ,,
,HÍBRIDO, 65 , 65 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 2 , 2 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 12 , 10 , 1 , 1 , -   , -   , -   ,,
,,,,,,,,,,
MORONA SANTIAGO,TOTAL," 9,419 "," 7,723 "," 1,101 ", 356 , 201 , 38 , -   ,,
,DIESEL," 1,691 ", 866 , 513 , 161 , 125 , 26 , -   ,,
,GASOLINA," 7,728 "," 6,857 ", 588 , 195 , 76 , 12 , -   ,,
,,,,,,,,,,
NAPO,TOTAL," 6,643 "," 5,285 ", 954 , 258 , 115 , 31 , -   ,,
,DIESEL," 1,159 ", 437 , 500 , 112 , 89 , 21 , -   ,,
,GASOLINA," 5,481 "," 4,845 ", 454 , 146 , 26 , 10 , -   ,,
,HÍBRIDO, 3 , 3 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
PASTAZA,TOTAL," 8,398 "," 6,756 "," 1,159 ", 305 , 118 , 60 , -   ,,
,DIESEL," 1,565 ", 639 , 658 , 129 , 87 , 52 , -   ,,
,GASOLINA," 6,832 "," 6,116 ", 501 , 176 , 31 , 8 , -   ,,
,HÍBRIDO, 1 , 1 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
PICHINCHA,TOTAL," 733,269 "," 664,381 "," 51,418 "," 12,743 "," 3,752 ", 232 , 743 ,,
,DIESEL," 89,353 "," 57,244 "," 25,984 "," 4,539 "," 1,393 ", 159 , 34 ,,
,GASOLINA," 640,401 "," 603,650 "," 25,422 "," 8,195 "," 2,357 ", 73 , 704 ,,
,HÍBRIDO," 3,205 "," 3,197 ", -   , 2 , 1 , -   , 5 ,,
,ELÉCTRICO, 90 , 85 , -   , 4 , 1 , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 220 , 205 , 12 , 3 , -   , -   , -   ,,
,,,,,,,,,,
TUNGURAHUA,TOTAL," 86,469 "," 76,720 "," 8,559 ", 813 , 349 , 23 , 5 ,,
,DIESEL," 12,932 "," 7,962 "," 4,565 ", 249 , 148 , 6 , 2 ,,
,GASOLINA," 73,323 "," 68,548 "," 3,993 ", 563 , 199 , 17 , 3 ,,
,HÍBRIDO, 199 , 197 , -   , -   , 2 , -   , -   ,,
,ELÉCTRICO, 5 , 5 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 10 , 8 , 1 , 1 , -   , -   , -   ,,
,,,,,,,,,,
ZAMORA CHINCHIPE,TOTAL," 5,414 "," 3,992 "," 1,010 ", 287 , 104 , 21 , -   ,,
,DIESEL," 1,297 ", 521 , 550 , 137 , 70 , 19 , -   ,,
,GASOLINA," 4,113 "," 3,467 ", 460 , 150 , 34 , 2 , -   ,,
,HÍBRIDO, 4 , 4 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
GALÁPAGOS,TOTAL," 1,256 ", 876 , 301 , 74 , 5 , -   , -   ,,
