,,,,,,,,,,
"CUADRO No .-14
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN CLASE Y TIPO DE COMBUSTIBLE",,,,,,,,,,
,,,,,,,,,ÍNDICE>>,
CLASE,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS,,
TOTAL,," 2,056,213 "," 1,885,063 "," 135,905 "," 26,535 "," 6,953 ", 924 , 833 ,,
TOTAL  ,DIESEL," 258,058 "," 175,802 "," 67,699 "," 10,430 "," 3,394 ", 694 , 39 ,,
TOTAL,GASOLINA," 1,792,135 "," 1,703,285 "," 68,186 "," 16,092 "," 3,554 ", 229 , 789 ,,
TOTAL,HÍBRIDO," 5,565 "," 5,552 ", -   , 3 , 4 , 1 , 5 ,,
TOTAL,ELÉCTRICO, 141 , 135 , 1 , 4 , 1 , -   , -   ,,
TOTAL,GAS LIQUADO DE PETRÓLEO, 314 , 289 , 19 , 6 , -   , -   , -   ,,
,,,,,,,,,,
AUTOMÓVIL,TOTAL," 636,296 "," 582,039 "," 52,690 "," 1,453 ", 29 , 3 , 82 ,,
,DIESEL," 1,774 "," 1,702 ", 61 , 7 , 1 , 1 , 2 ,,
,GASOLINA," 631,349 "," 577,181 "," 52,615 "," 1,445 ", 28 , 2 , 78 ,,
,HÍBRIDO," 2,993 "," 2,990 ", -   ,1, -   , -   , 2 ,,
,ELÉCTRICO, 46 , 46 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 134 , 120 , 14 ,0, -   , -   , -   ,,
,,,,,,,,,,
AUTOBÚS,TOTAL," 23,436 "," 2,103 "," 20,450 ", 744 , 125 , 13 , 1 ,,
,DIESEL," 23,056 "," 1,914 "," 20,302 ", 704 , 125 , 10 , 1 ,,
,GASOLINA, 380 , 189 , 148 , 40 , -   , 3 , -   ,,
,,,,,,,,,,
CAMIÓN,TOTAL," 98,906 "," 73,071 "," 22,928 "," 1,657 "," 1,097 ", 151 , 2 ,,
,DIESEL," 94,822 "," 69,284 "," 22,734 "," 1,591 "," 1,068 ", 144 , 1 ,,
,GASOLINA," 4,078 "," 3,783 ", 193 , 65 , 29 , 7 , 1 ,,
,ELÉCTRICO, 2 , 2 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 4 , 2 , 1 , 1 , -   , -   , -   ,,
,,,,,,,,,,
CAMIONETA,TOTAL," 403,540 "," 373,519 "," 16,207 "," 11,139 "," 2,294 ", 324 , 57 ,,
,DIESEL," 83,016 "," 71,728 "," 3,834 "," 6,228 ", 961 , 247 , 18 ,,
,GASOLINA," 320,331 "," 301,606 "," 12,369 "," 4,908 "," 1,332 ", 77 , 39 ,,
,HÍBRIDO, 115 , 115 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 13 , 12 , -   , -   , 1 , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 65 , 58 , 4 , 3 , -   , -   , -   ,,
,,,,,,,,,,
FURGONETA C,TOTAL," 41,268 "," 32,661 "," 8,076 ", 436 , 61 , 14 , 20 ,,
,DIESEL," 20,284 "," 12,307 "," 7,558 ", 353 , 45 , 11 , 10 ,,
,GASOLINA," 20,976 "," 20,346 ", 518 , 83 , 16 , 3 , 10 ,,
,HÍBRIDO, 1 , 1 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 3 , 3 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 4 , 4 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
FURGONETA P,TOTAL," 24,041 "," 23,809 ", 158 , 25 , 1 , -   , 48 ,,
,DIESEL, 645 , 617 , 28 , -   , -   , -   , -   ,,
,GASOLINA," 23,388 "," 23,184 ", 130 , 25 , 1 , -   , 48 ,,
,HÍBRIDO, 1 , 1 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 6 , 6 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
JEEP,TOTAL," 322,998 "," 316,832 ", 48 ," 4,807 ", 628 , 67 , 616 ,,
,DIESEL," 7,325 "," 7,171 ", -   , 137 , 8 , 2 , 7 ,,
,GASOLINA," 313,112 "," 307,116 ", 48 ," 4,662 ", 616 , 64 , 606 ,,
,HÍBRIDO," 2,451 "," 2,441 ", -   , 2 , 4 , 1 , 3 ,,
,ELÉCTRICO, 54 , 50 , -   , 4 , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 56 , 54 , -   , 2 , -   , -   , -   ,,
,,,,,,,,,,
MOTOCICLETA,TOTAL," 477,918 "," 469,551 "," 2,149 "," 4,650 "," 1,490 ", 71 , 7 ,,
,DIESEL, 115 , 49 , 65 , -   , 1 , -   , -   ,,
,GASOLINA," 477,733 "," 469,432 "," 2,084 "," 4,650 "," 1,489 ", 71 , 7 ,,
,HÍBRIDO, 4 , 4 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 21 , 21 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 45 , 45 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
TANQUERO,TOTAL," 2,228 ", 939 ," 1,051 ", 177 , 46 , 15 , -   ,,
,DIESEL," 2,178 ", 908 ," 1,046 ", 169 , 40 , 15 , -   ,,
,GASOLINA, 50 , 31 , 5 , 8 , 6 , -   , -   ,,
,,,,,,,,,,
TRÁILER,TOTAL," 9,749 "," 2,790 "," 6,824 ", 77 , 43 , 15 , -   ,,
,DIESEL," 9,694 "," 2,759 "," 6,801 ", 76 , 43 , 15 , -   ,,
,GASOLINA, 54 , 31 , 22 , 1 , -   , -   , -   ,,
,ELÉCTRICO, 1 , -   , 1 , -   , -   , -   , -   ,,
,,,,,,,,,,
VOLQUETA,TOTAL," 11,720 "," 5,691 "," 4,843 ", 475 , 555 , 156 , -   ,,
,DIESEL," 11,500 "," 5,556 "," 4,797 ", 446 , 547 , 154 , -   ,,
,GASOLINA, 220 , 135 , 46 , 29 , 8 , 2 , -   ,,
,,,,,,,,,,
OTRA CLASE,TOTAL," 4,113 "," 2,058 ", 481 , 895 , 584 , 95 , -   ,,
,DIESEL," 3,649 "," 1,807 ", 473 , 719 , 555 , 95 , -   ,,
,GASOLINA, 464 , 251 , 8 , 176 , 29 , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,
