,,,,,,,,
"CUADRO No .-2
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN CLASE",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS,
TOTAL,"2,056,213","1,885,063","135,905","26,535","6,953",924,833,
AUTOMÓVIL," 636,296 "," 582,039 "," 52,690 "," 1,453 ", 29 , 3 , 82 ,
AUTOBÚS," 23,436 "," 2,103 "," 20,450 ", 744 , 125 , 13 , 1 ,
CAMIÓN," 98,906 "," 73,071 "," 22,928 "," 1,657 "," 1,097 ", 151 , 2 ,
CAMIONETA," 403,540 "," 373,519 "," 16,207 "," 11,139 "," 2,294 ", 324 , 57 ,
FURGONETA C," 41,268 "," 32,661 "," 8,076 ", 436 , 61 , 14 , 20 ,
FURGONETA P," 24,041 "," 23,809 ", 158 , 25 , 1 , -   , 48 ,
JEEP," 322,998 "," 316,832 ", 48 ," 4,807 ", 628 , 67 , 616 ,
MOTOCICLETA," 477,918 "," 469,551 "," 2,149 "," 4,650 "," 1,490 ", 71 , 7 ,
TANQUERO," 2,228 ", 939 ," 1,051 ", 177 , 46 , 15 , -   ,
TRÁILER," 9,749 "," 2,790 "," 6,824 ", 77 , 43 , 15 , -   ,
VOLQUETA," 11,720 "," 5,691 "," 4,843 ", 475 , 555 , 156 , -   ,
OTRA CLASE," 4,113 "," 2,058 ", 481 , 895 , 584 , 95 , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
