,,,,,,,,
"CUADRO No .-3 
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN MODELO (AÑO DE FABRICACIÓN)",,,,,,,,
,,,,,,,,ÍNDICE>>
"MODELO
(AÑO DE FABRICACIÓN)",TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
TOTAL,"2,056,213","1,885,063","135,905","26,535","6,953",924,833,
2003 Y ANTERIORES,"500,771"," 478,555 "," 17,765 "," 3,224 "," 1,099 ", 112 , 16 ,
2004,"47,467"," 42,757 "," 4,047 ", 439 , 206 , 9 , 9 ,
2005,"65,724"," 58,621 "," 6,185 ", 638 , 258 , 1 , 21 ,
2006,"80,712"," 73,888 "," 5,499 ", 966 , 336 , 8 , 15 ,
2007,"89,659"," 81,996 "," 6,249 ", 946 , 421 , 23 , 24 ,
2008,"91,287"," 81,881 "," 7,202 "," 1,766 ", 386 , 23 , 29 ,
2009,"116,578"," 99,887 "," 11,763 "," 4,248 ", 588 , 48 , 44 ,
2010,"112,984"," 99,559 "," 11,041 "," 1,826 ", 400 , 94 , 64 ,
2011,"160,922"," 138,749 "," 18,403 "," 2,832 ", 741 , 133 , 64 ,
2012,"164,526"," 148,393 "," 11,888 "," 3,114 ", 889 , 174 , 68 ,
2013,"160,917"," 146,891 "," 11,229 "," 2,248 ", 399 , 86 , 64 ,
2014,"161,515"," 148,826 "," 9,601 "," 2,485 ", 440 , 82 , 81 ,
2015,"182,039"," 170,607 "," 9,316 "," 1,320 ", 547 , 109 , 140 ,
2016,"89,243"," 83,785 "," 4,849 ", 226 , 203 , 22 , 158 ,
2017,"31,869"," 30,668 ", 868 , 257 , 40 , -   , 36 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
