,,,,,,,,,,,,,,
"CUADRO No .-4
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN PROVINCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TOTAL," 2,056,213 "," 636,296 "," 23,436 "," 98,906 "," 403,540 "," 41,268 "," 24,041 "," 322,998 "," 477,918 "," 2,228 "," 9,749 "," 11,720 "," 4,113 ",
AZUAY," 64,254 "," 19,776 ", 408 ," 3,280 "," 18,182 ", 919 , 848 ," 13,534 "," 6,436 ", 42 , 262 , 465 , 102 ,
BOLÍVAR," 12,957 "," 2,607 ", 369 ," 1,255 "," 4,033 ", 116 , 47 ," 1,391 "," 2,889 ", 18 , 22 , 130 , 80 ,
CAÑAR," 34,251 "," 8,770 ", 472 ," 2,283 "," 9,915 ", 435 , 251 ," 4,663 "," 6,605 ", 59 , 311 , 429 , 58 ,
CARCHI," 16,269 "," 5,354 ", 300 ," 1,451 "," 3,504 ", 205 , 148 ," 2,501 "," 2,187 ", 24 , 425 , 119 , 51 ,
COTOPAXI," 36,511 "," 8,340 ", 564 ," 3,073 "," 10,340 ", 409 , 257 ," 4,192 "," 8,301 ", 82 , 482 , 374 , 97 ,
CHIMBORAZO," 32,960 "," 11,753 ", 482 ," 2,488 "," 9,128 ", 554 , 393 ," 4,583 "," 3,111 ", 24 , 82 , 255 , 107 ,
EL ORO," 83,417 "," 16,916 ", 950 ," 4,752 "," 16,886 "," 1,099 ", 500 ," 7,857 "," 33,127 ", 85 , 383 , 719 , 143 ,
ESMERALDAS," 37,064 "," 6,516 ", 381 ," 1,970 "," 7,028 ", 406 , 136 ," 3,308 "," 16,730 ", 41 , 174 , 314 , 60 ,
GUAYAS," 481,294 "," 172,613 "," 3,826 "," 20,937 "," 76,739 "," 13,807 "," 6,546 "," 69,645 "," 112,994 ", 265 ," 1,946 "," 1,220 ", 756 ,
IMBABURA," 22,127 "," 7,272 ", 482 ," 1,378 "," 5,000 ", 416 , 207 ," 3,422 "," 3,481 ", 27 , 204 , 213 , 25 ,
LOJA," 20,791 "," 4,733 ", 183 ," 1,328 "," 6,965 ", 204 , 123 ," 2,334 "," 4,517 ", 30 , 80 , 264 , 30 ,
LOS RÍOS," 101,774 "," 9,893 ", 936 ," 4,632 "," 14,601 ", 754 , 267 ," 3,628 "," 66,060 ", 41 , 333 , 543 , 86 ,
MANABÍ," 158,157 "," 37,548 "," 1,564 "," 5,033 "," 31,890 "," 1,963 "," 1,042 "," 12,708 "," 64,246 ", 299 , 521 ," 1,159 ", 184 ,
MORONA SANTIAGO," 9,419 "," 1,605 ", 181 , 700 ," 2,717 ", 75 , 36 ," 1,185 "," 2,689 ", 9 , 23 , 137 , 62 ,
NAPO," 6,643 "," 1,105 ", 140 , 389 ," 1,676 ", 62 , 28 , 714 ," 2,370 ", 2 , 26 , 88 , 43 ,
PASTAZA," 8,398 "," 2,139 ", 210 , 497 ," 1,768 ", 134 , 59 , 986 ," 2,344 ", 9 , 25 , 171 , 56 ,
PICHINCHA," 733,269 "," 270,024 "," 8,490 "," 30,854 "," 137,804 "," 16,855 "," 11,572 "," 166,748 "," 81,824 ", 767 ," 3,226 "," 3,493 "," 1,612 ",
TUNGURAHUA," 86,469 "," 31,694 "," 1,583 "," 5,902 "," 25,887 "," 1,654 "," 1,092 "," 12,100 "," 5,583 ", 106 , 288 , 387 , 193 ,
ZAMORA CHINCHIPE," 5,414 "," 1,197 ", 173 , 541 ," 1,635 ", 46 , 19 , 571 ," 1,061 ", 6 , 9 , 109 , 47 ,
GALÁPAGOS," 1,256 ", 35 , 30 , 107 , 495 , 11 , 1 , 58 , 507 , 4 , 1 , 6 , 1 ,
SUCUMBÍOS," 25,807 "," 2,171 ", 380 ," 1,293 "," 3,807 ", 158 , 62 ," 1,025 "," 16,151 ", 54 , 231 , 384 , 91 ,
ORELLANA," 14,547 "," 1,623 ", 216 ," 1,058 "," 2,620 ", 113 , 38 , 757 ," 7,268 ", 64 , 411 , 284 , 95 ,
SANTO DOMINGO DE LOS TSÁCHILAS," 39,769 "," 5,056 ", 598 ," 2,802 "," 7,385 ", 406 , 150 ," 3,342 "," 19,229 ", 103 , 222 , 372 , 104 ,
SANTA ELENA," 23,396 "," 7,556 ", 518 , 903 ," 3,535 ", 467 , 219 ," 1,746 "," 8,208 ", 67 , 62 , 85 , 30 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Nota: La distribución geográfica de las provincias de este cuadro se registra en función del lugar de residencia del propietario del automotor.,,,,,,,,,,,,,,
