,,,,,,,,,,,,,,,,,
"CUADRO No .-5
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR MODELO (AÑO DE FABRICACIÓN), SEGÚN CLASE",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ÍNDICE>>
CLASE,TOTAL,MODELO (AÑO DE FABRICACIÓN),,,,,,,,,,,,,,,
,,2003 Y ANTERÍORES,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
TOTAL," 2,056,213 "," 500,771 "," 47,467 "," 65,724 "," 80,712 "," 89,659 "," 91,287 "," 116,578 "," 112,984 "," 160,922 "," 164,526 "," 160,917 "," 161,515 "," 182,039 "," 89,243 "," 31,869 ",
AUTOMÓVIL," 636,296 "," 185,639 "," 18,733 "," 28,667 "," 32,640 "," 32,441 "," 28,896 "," 35,874 "," 31,988 "," 54,836 "," 47,380 "," 42,876 "," 34,578 "," 33,564 "," 19,120 "," 9,064 ",
AUTOBÚS," 23,436 "," 5,942 "," 1,294 "," 1,422 "," 1,476 "," 1,116 "," 1,080 "," 1,193 ", 785 ," 1,595 "," 1,403 "," 1,143 "," 1,562 "," 1,571 "," 1,547 ", 307 ,
CAMIÓN," 98,906 "," 30,548 "," 2,675 "," 3,613 "," 4,452 "," 5,773 "," 5,641 "," 5,904 "," 3,575 "," 6,523 "," 6,314 "," 6,941 "," 5,675 "," 7,868 "," 2,962 ", 442 ,
CAMIONETA," 403,540 "," 166,794 "," 10,702 "," 13,314 "," 15,158 "," 17,617 "," 18,280 "," 23,804 "," 19,682 "," 25,471 "," 21,079 "," 22,417 "," 16,993 "," 18,760 "," 9,394 "," 4,075 ",
FURGONETA C," 41,268 "," 10,707 "," 1,890 "," 1,840 "," 1,439 "," 1,396 "," 1,197 "," 2,264 "," 1,506 "," 3,161 "," 3,051 "," 4,051 "," 2,873 "," 3,510 "," 2,102 ", 281 ,
FURGONETA P," 24,041 "," 5,867 ", 695 , 997 , 911 ," 1,476 ", 373 , 389 , 141 , 269 , 343 , 787 ," 3,017 "," 5,258 "," 1,990 "," 1,528 ",
JEEP," 322,998 "," 78,797 "," 6,419 "," 9,321 "," 10,720 "," 14,720 "," 14,081 "," 22,597 "," 23,834 "," 29,467 "," 24,846 "," 25,423 "," 20,786 "," 23,546 "," 13,065 "," 5,376 ",
MOTOCICLETA," 477,918 "," 8,148 "," 4,651 "," 6,058 "," 13,238 "," 14,119 "," 20,351 "," 21,971 "," 30,040 "," 37,911 "," 57,923 "," 54,640 "," 73,804 "," 85,707 "," 38,586 "," 10,771 ",
TANQUERO," 2,228 ", 903 , 43 , 55 , 81 , 91 , 99 , 117 , 95 , 147 , 155 , 146 , 95 , 152 , 38 , 11 ,
TRÁILER," 9,749 "," 2,271 ", 80 , 139 , 269 , 283 , 418 , 598 , 516 , 731 , 855 ," 1,097 "," 1,057 "," 1,218 ", 217 , -   ,
VOLQUETA," 11,720 "," 4,225 ", 169 , 198 , 230 , 396 , 661 ," 1,455 ", 578 , 476 , 802 , 940 , 861 , 617 , 108 , 4 ,
OTRA CLASE," 4,113 ", 930 , 116 , 100 , 98 , 231 , 210 , 412 , 244 , 335 , 375 , 456 , 214 , 268 , 114 , 10 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,,,,
