,,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR  MODELO (AÑO DE FABRICACIÓN), SEGÚN MARCA",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO (AÑO DE FABRICACIÓN),,,,,,,,,,,,,,,
,,2003 Y ANTERÍORES,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
TOTAL," 2,056,213 "," 500,771 "," 47,467 "," 65,724 "," 80,712 "," 89,659 "," 91,287 "," 116,578 "," 112,984 "," 160,922 "," 164,526 "," 160,917 "," 161,515 "," 182,039 "," 89,243 "," 31,869 ",
CHEVROLET," 584,800 "," 152,131 "," 18,768 "," 25,411 "," 31,508 "," 30,579 "," 28,551 "," 34,098 "," 26,573 "," 46,888 "," 44,633 "," 40,586 "," 33,352 "," 41,296 "," 22,348 "," 8,078 ",
SUZUKI," 145,086 "," 25,453 ", 686 ," 1,343 "," 3,982 "," 3,938 "," 6,786 "," 12,149 "," 12,627 "," 12,174 "," 14,506 "," 8,609 "," 12,150 "," 17,153 "," 9,556 "," 3,974 ",
TOYOTA," 131,735 "," 56,146 "," 3,466 "," 4,312 "," 5,204 "," 6,853 "," 7,828 "," 8,229 "," 7,202 "," 6,101 "," 5,238 "," 7,369 "," 5,110 "," 5,378 "," 1,625 "," 1,674 ",
HYUNDAI," 131,385 "," 20,423 "," 3,440 "," 7,440 "," 6,646 "," 8,123 "," 5,437 "," 12,136 "," 9,810 "," 15,524 "," 11,097 "," 10,516 "," 7,956 "," 7,566 "," 4,315 ", 956 ,
MAZDA," 111,128 "," 36,516 "," 2,785 "," 4,065 "," 5,016 "," 7,434 "," 7,943 "," 8,321 "," 7,533 "," 6,657 "," 5,050 "," 5,285 "," 6,654 "," 4,924 "," 2,116 ", 829 ,
NISSAN," 95,645 "," 38,979 "," 1,631 "," 2,083 "," 2,174 "," 3,192 "," 2,469 "," 4,926 "," 5,376 "," 8,569 "," 7,175 "," 6,542 "," 4,382 "," 4,829 "," 2,587 ", 731 ,
KIA," 86,210 "," 7,956 "," 2,566 "," 2,935 "," 2,086 "," 2,693 "," 1,739 "," 3,986 "," 6,406 "," 11,182 "," 7,839 "," 12,935 "," 8,470 "," 9,381 "," 2,761 "," 3,275 ",
FORD," 63,597 "," 30,541 "," 1,367 "," 1,972 "," 2,151 "," 3,104 "," 1,830 "," 2,230 "," 4,522 "," 2,025 "," 2,940 "," 4,228 "," 3,628 "," 2,194 ", 828 , 37 ,
VOLKSWAGEN," 39,565 "," 16,650 "," 1,945 "," 3,610 "," 1,761 ", 986 , 827 ," 1,918 ", 800 ," 3,868 "," 2,027 "," 1,774 "," 1,784 ", 802 , 720 , 93 ,
HINO," 44,474 "," 9,685 "," 1,346 "," 1,669 "," 1,982 "," 2,328 "," 3,091 "," 3,484 "," 2,273 "," 3,444 "," 3,223 "," 2,668 "," 2,817 "," 4,152 "," 1,684 ", 628 ,
SHINERAY," 41,468 ", 2 , 166 , 340 ," 1,039 "," 1,358 "," 1,529 "," 1,674 "," 2,944 "," 5,853 "," 4,517 "," 2,454 "," 6,522 "," 4,855 "," 6,197 "," 2,018 ",
HONDA," 38,367 "," 4,246 "," 1,407 ", 842 ," 1,576 "," 1,103 "," 1,409 "," 2,073 "," 1,478 "," 3,050 "," 4,701 "," 6,346 "," 4,552 "," 4,348 "," 1,088 ", 148 ,
MITSUBISHI," 34,118 "," 21,211 ", 956 , 813 ," 1,259 "," 1,885 "," 1,913 "," 1,664 ", 660 ," 1,035 ", 524 , 343 , 666 , 730 , 427 , 32 ,
MOTOR UNO," 34,535 ", -   , 65 , 177 , 414 ," 1,080 "," 1,040 "," 1,550 "," 2,605 "," 2,275 "," 4,449 "," 4,893 "," 4,627 "," 6,481 "," 4,264 ", 615 ,
RENAULT," 29,605 "," 3,052 ", 922 ," 1,033 "," 1,105 "," 1,567 "," 1,530 "," 2,204 "," 2,002 "," 4,670 "," 3,867 "," 1,819 "," 2,100 "," 2,051 ", 491 ," 1,192 ",
YAMAHA," 23,347 "," 3,460 ", 560 , 570 ," 1,907 ", 450 , 295 ," 1,353 ", 685 ," 1,829 "," 1,569 "," 2,276 "," 2,804 "," 4,965 ", 588 , 36 ,
BAJAJ," 24,158 ", 100 , 45 , 54 , -   , -   , 83 , 5 , 290 ," 1,505 "," 2,873 "," 6,722 "," 4,918 "," 5,026 "," 2,449 ", 88 ,
DAYTONA," 23,205 ", -   , -   , -   , -   , 189 , 360 , 485 , 431 ," 1,536 "," 3,268 "," 2,655 "," 6,296 "," 3,155 "," 3,670 "," 1,160 ",
SUKIDA," 19,726 ", 24 , 80 , 62 , 12 , -   , -   , 246 , 890 ," 1,444 "," 1,905 "," 3,133 "," 4,213 "," 6,444 "," 1,257 ", 16 ,
RANGER," 17,180 ", 102 , 290 , 187 , 583 ," 1,074 ", 73 , 577 ," 2,871 ", 310 ," 2,039 "," 1,206 "," 2,088 "," 2,629 "," 2,098 "," 1,053 ",
TUNDRA," 16,938 ", -   , -   , -   , -   , -   , -   , -   , 819 ," 1,173 "," 4,040 "," 2,592 "," 4,737 "," 3,321 ", 184 , 72 ,
FIAT," 12,766 "," 8,890 ", 314 , 611 , 857 , 413 , 263 , 88 , 107 , 63 , 71 , 577 , 187 , 299 , 9 , 17 ,
QMC," 14,109 ", -   , 153 , 65 , 277 , 678 ," 1,128 ", 555 , 607 ," 1,818 "," 4,071 "," 1,147 "," 1,641 "," 1,969 ", -   , -   ,
MERCEDES BENZ," 12,745 "," 7,421 ", 595 , 824 , 876 , 509 , 283 , 261 , 296 , 443 , 259 , 252 , 260 , 292 , 150 , 24 ,
DUKARE," 12,482 ", -   , -   , -   , -   , -   , -   , 355 , 902 , 635 ," 1,406 "," 1,775 "," 1,911 "," 2,354 "," 2,617 ", 527 ,
GREAT WALL," 11,839 ", 139 , 25 , -   , -   , 12 , 34 , 27 , 229 , 918 ," 1,742 "," 1,799 "," 1,240 "," 2,351 "," 1,948 "," 1,375 ",
DAEWOO," 9,559 "," 9,538 ", 1 , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , 17 , -   ,
SKODA," 9,935 "," 4,155 ", 554 , 302 , 589 , 584 , 702 , 534 , 537 , 699 , 404 , 397 , 328 , 108 , 42 , -   ,
DAIHATSU," 9,119 "," 6,246 ", 223 , 214 , 309 , 837 , 734 , 419 , 6 , 22 , 33 , 20 , 18 , 38 , -   , -   ,
TRAXX," 8,224 ", -   , 48 , -   , 158 , 866 ," 1,648 ", 964 ," 2,344 ", 691 , 932 , 264 , 309 , -   , -   , -   ,
LONCIN," 10,436 ", 49 , 79 , 102 , 263 , 284 , 287 , 216 , 320 , 810 ," 1,353 "," 1,573 "," 1,924 "," 1,864 ", 851 , 461 ,
THUNDER," 8,065 ", -   , -   , -   , -   , 9 , 66 , 90 , 150 , 688 ," 1,423 "," 1,106 "," 2,232 "," 1,225 ", 955 , 121 ,
PEUGEOT," 7,775 "," 1,840 ", 607 ," 1,018 "," 1,235 ", 794 , 583 , 553 , 121 , 272 , 222 , 133 , 129 , 195 , 35 , 38 ,
LADA," 8,151 "," 6,817 ", 377 , 114 , 653 , 190 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
TUKO," 8,337 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 211 , 588 ," 2,557 "," 3,369 "," 1,234 ", 378 ,
DAYANG," 5,904 ", 1 , 11 , 27 , 78 , 127 , 246 , 169 , 448 , 873 , 262 ," 1,515 ", 686 ," 1,440 ", 21 , -   ,
PEGASSO," 5,820 ", 14 , -   , -   , -   , 48 , 941 , 733 , 612 , 318 ," 1,569 ", 229 , 788 , 568 , -   , -   ,
DATSUN," 6,546 "," 6,546 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
CHERY," 6,007 ", -   , -   , -   , -   , 2 , 157 , 105 , 109 , 380 ," 1,574 "," 1,564 ", 579 , 384 , 682 , 471 ,
ICS," 7,856 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 204 , 856 ," 6,597 ", 150 , 49 ,
OROMOTO," 5,564 ", -   , 17 , 243 , 147 , 517 , 629 , 762 , 30 , 742 , 714 , 582 , 496 , 685 , -   , -   ,
QINGQI," 4,662 ", 10 , 63 , 114 , 128 , 191 , 309 , 140 , 221 , 802 , 634 , 579 , 845 , 593 , 32 , 1 ,
JAC," 4,750 ", 8 , 26 , 39 , 66 , 27 , 123 , 189 , 166 , 326 , 693 , 818 , 869 , 957 , 397 , 46 ,
JEEP," 4,123 "," 2,041 ", 32 , 56 , 67 , 88 , 91 , 51 , 83 , 147 , 182 , 214 , 727 , 189 , 154 , 1 ,
TEKNO," 3,733 ", -   , -   , 36 , 363 , 431 , 602 , 122 , 533 , 523 , 502 , 156 , 235 , 230 , -   , -   ,
