,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TOTAL," 2,056,213 "," 636,296 "," 23,436 "," 98,906 "," 403,540 "," 41,268 "," 24,041 "," 322,998 "," 477,918 "," 2,228 "," 9,749 "," 11,720 "," 4,113 ",
CHEVROLET," 584,800 "," 282,364 "," 2,710 "," 29,629 "," 148,442 "," 7,175 "," 6,995 "," 105,497 ", -   , 311 , 311 ," 1,032 ", 334 ,
SUZUKI," 145,086 "," 22,391 ", -   , -   , 1 , 299 , 29 ," 39,586 "," 82,780 ", -   , -   , -   , -   ,
TOYOTA," 131,735 "," 27,467 ", 187 , -   ," 74,614 "," 2,253 ", 896 ," 26,253 ", -   , 8 , 1 , 13 , 43 ,
HYUNDAI," 131,385 "," 67,666 "," 1,091 "," 6,937 ", -   ," 10,145 "," 6,588 "," 38,443 ", 2 , 50 , 68 , 134 , 261 ,
MAZDA," 111,128 "," 18,006 ", 1 , 29 ," 89,668 ", 632 , 944 ," 1,818 ", -   , -   , -   , 1 , 29 ,
NISSAN," 95,645 "," 45,941 ", 76 , 975 ," 29,952 "," 1,273 ", 346 ," 15,879 ", -   , 93 , 36 , 631 , 443 ,
KIA," 86,210 "," 41,664 ", 23 ," 3,243 ", 462 ," 8,765 "," 2,117 "," 29,873 ", -   , 8 , -   , 6 , 49 ,
FORD," 63,597 "," 6,323 ", 84 ," 4,107 "," 30,270 ", 768 ," 1,153 "," 19,638 ", -   , 196 , 105 , 657 , 296 ,
