,,,,,,,,
"CUADRO No .-9 
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CAPACIDAD DE PASAJEROS, SEGÚN CLASE",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL DE ASIENTOS,TOTAL DE VEHÍCULOS,CAPACIDAD DE PASAJEROS,,,,,
,,,1 A 10,11 A 20,21 A 30,31 A 40,41 Y MÁS,
TOTAL," 6,470,462 "," 1,488,802 "," 1,465,201 "," 1,837 "," 2,475 "," 7,757 "," 11,532 ",
AUTOMÓVIL," 3,155,458 "," 636,296 "," 636,296 ", -   , -   , -   , -   ,
AUTOBÚS," 933,441 "," 23,436 ", -   ," 1,699 "," 2,455 "," 7,752 "," 11,530 ",
FURGONETA P," 129,026 "," 24,041 "," 24,003 ", 38 , -   , -   , -   ,
JEEP," 1,688,834 "," 322,998 "," 322,952 ", 46 , -   , -   , -   ,
MOTOCICLETA," 551,870 "," 477,918 "," 477,918 ", -   , -   , -   , -   ,
OTRA CLASE," 11,833 "," 4,113 "," 4,032 ", 54 , 20 , 5 , 2 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
